,PID,LEGAL_TYPE,FOLIO,LAND_COORDINATE,ZONE_NAME,ZONE_CATEGORY,LOT,BLOCK,PLAN,DISTRICT_LOT,FROM_CIVIC_NUMBER,TO_CIVIC_NUMBER,STREET_NAME,PROPERTY_POSTAL_CODE,NARRATIVE_LEGAL_LINE1,NARRATIVE_LEGAL_LINE2,NARRATIVE_LEGAL_LINE3,NARRATIVE_LEGAL_LINE4,NARRATIVE_LEGAL_LINE5,CURRENT_LAND_VALUE,CURRENT_IMPROVEMENT_VALUE,TAX_ASSESSMENT_YEAR,PREVIOUS_LAND_VALUE,PREVIOUS_IMPROVEMENT_VALUE,YEAR_BUILT,BIG_IMPROVEMENT_YEAR,TAX_LEVY,NEIGHBOURHOOD_CODE
71630,016-023-960,STRATA,152823960001,15282396,RT-2,Two Family Dwelling,1,,VAS2649,,,8298.0,FREMLIN ST,V6P 3W8,LOT 1  PLAN VAS2649  NWD DISTRICT L,"OT 319 323 & 324, AN UNDIV 107/218 ",SHARE IN COM PROP THEREIN TOGETHER ,WITH AN INTEREST IN THE COMMON PROP,ERTY IN PROPORTION TO THE UNIT ENTI,1078000.0,138000.0,2018.0,901000.0,142000.0,1990.0,1990.0,,12
14074,028-273-826,LAND,210791850000,21079185,C-2,Commercial,A,4,BCP44650,650,,6681.0,FRASER ST,V5X 3T6,LOT A  BLOCK 4  PLAN BCP44650  DIST,"RICT LOT 650  NWD GROUP 1, TO BLK 8",.,,,2175000.0,315500.0,2018.0,1631000.0,687000.0,1960.0,1960.0,,17
91966,007-681-348,LAND,275698850000,27569885,RS-1,One Family Dwelling,A,F,VAP15233,THSL,,3745.0,SLOCAN ST,V5M 3G2,LOT A  BLOCK F  SECTION 45  PLAN VA,P15233  DISTRICT LOT THSL  NWD,,,,1260000.0,77500.0,2018.0,1275000.0,80400.0,1974.0,1974.0,,22
37027,011-642-351,LAND,84650540000,8465054,C-7,Commercial,D,343,VAP4329,526,,2554.0,VINE ST,V6K 3L1,LOT D  BLOCK 343  PLAN VAP4329  DIS,TRICT LOT 526  NWD OF LOT 19 & 20.,,,,2502000.0,11200.0,2018.0,2059000.0,11200.0,1922.0,2000.0,,2
197649,028-758-676,STRATA,646190910188,64619091,IC-3,Light Industrial,188,,BCS4330,200A,513,250.0,6TH AVE E,V5T 1J8,LOT 188  PLAN BCS4330  DISTRICT LOT," 200A  NWD GROUP 1, TOGETHER WITH A",N INTEREST IN THE COMMON PROPERTY I,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,358000.0,218000.0,2018.0,349000.0,218000.0,2012.0,2012.0,,13
121107,010-884-793,STRATA,688150810014,68815081,RM-4,Multiple Family Dwelling,14,,VAS2131,526,201,925.0,15TH AVE W,V5Z 1S1,LOT 14  PLAN VAS2131  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 874/1502,4 SHARE IN COM PROP THEREIN.,,,528000.0,153000.0,2018.0,419000.0,157000.0,1988.0,1988.0,,7
51876,011-242-264,STRATA,813176940069,81317694,CD-1 (179),Comprehensive Development,69,,VAS1960,322,101,7580.0,COLUMBIA ST,V5X 4S8,LOT 69  PLAN VAS1960  DISTRICT LOT ,322  NEW WESTMINSTER UNDIV 107/3347, SHARE IN COM PROP THEREIN PHASE 3.,,,570000.0,161000.0,2018.0,434000.0,166000.0,1988.0,1988.0,,12
151385,027-377-709,STRATA,634050920003,63405092,RT-8,Two Family Dwelling,3,,BCS2709,540,,3206.0,1ST AVE W,V6K 1H5,LOT 3  PLAN BCS2709  DISTRICT LOT 5,"40  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,1628000.0,288000.0,2018.0,1501000.0,288000.0,2008.0,2008.0,,2
128892,007-821-522,LAND,643041060000,64304106,RS-1,One Family Dwelling,,38,14456,540,,2251.0,COLLINGWOOD ST,V6R 3L1,BLOCK 38  PLAN 14456  DISTRICT LOT ,540  NEW WESTMINSTER,,,,23004000.0,2231000.0,2018.0,22353000.0,2095000.0,,,,2
9407,014-393-140,LAND,708300250000,70830025,RS-1,One Family Dwelling,30,3,VAP1705,THSL,,3341.0,28TH AVE E,V5R 1T2,LOT 30  BLOCK 3  SECTION 50  PLAN V,AP1705  DISTRICT LOT THSL  NWD PART," SW 1/4, LOT 30 BLK 3 DL SEC 50 S W", QTR THSL.,,1300000.0,80100.0,2018.0,1280000.0,84000.0,1975.0,1975.0,,22
47319,024-233-706,STRATA,134604770015,13460477,CD-1 (369),Comprehensive Development,15,,LMS3440,541,206,933.0,SEYMOUR ST,V6B 6L6,LOT 15  PLAN LMS3440  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 52/11238, UNDIV SHARE IN COM PROP THEREIN.,,,340000.0,160000.0,2018.0,304000.0,162000.0,1998.0,1998.0,,29
163243,003-548-864,STRATA,613118230014,61311823,RM-5A,Multiple Family Dwelling,14,,VAS164,185,702,1165.0,BURNABY ST,V6E 1P3,LOT 14  PLAN VAS164  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 334 /7162, SHARE IN COM PROP THEREIN.,,,617000.0,260000.0,2018.0,523000.0,249000.0,1973.0,1974.0,,27
39667,010-274-227,LAND,165824070000,16582407,RS-1,One Family Dwelling,18,J,VAP8023,323,,706.0,64TH AVE W,V6P 2L3,LOT 18  BLOCK J  PLAN VAP8023  DIST,RICT LOT 323  NEW WESTMINSTER,,,,2400000.0,32200.0,2018.0,2309000.0,32300.0,1951.0,1951.0,,12
165606,,OTHER,156843750000,15684375,M-2,Industrial,,,,5908,,,VACANT,,DISTRICT LOT 5908  NWD LEASE/PERMIT,"/LICENCE # VAN604-05005P-001, GROUP"," 1, LID 1-01-01169, VPA LEASE FOR S",COW MOORAGE AND BARGE LOADING FACIL,ITIES.,109000.0,0.0,2018.0,99400.0,0.0,,,,18
33732,015-451-283,LAND,576300540000,57630054,RS-1,One Family Dwelling,10,7,VAP339,THSL,,3454.0,CAMBRIDGE ST,V5K 1M2,LOT 10  BLOCK 7  PLAN VAP339  DISTR,ICT LOT THSL  NEW WESTMINSTER O.I.C,. NO 1198.,,,1311000.0,413000.0,2018.0,1343000.0,382000.0,2002.0,2002.0,,20
151445,027-046-117,STRATA,172595060034,17259506,CD-1 (265),Comprehensive Development,34,,BCS2313,,805,58.0,KEEFER PL,V6B 0B8,LOT 34  PLAN BCS2313  NEW WESTMINST,ER DISTRICT LOT FALSE CREEK.,,,,422000.0,189000.0,2018.0,348000.0,189000.0,2007.0,2007.0,,26
96337,028-630-751,STRATA,650149060013,65014906,C-3A,Commercial,13,,BCS4158,526,303,2550.0,SPRUCE ST,V6H 0A8,LOT 13  PLAN BCS4158  DISTRICT LOT ,"526  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,329000.0,194000.0,2018.0,267000.0,196000.0,2011.0,2011.0,,7
137552,025-756-931,STRATA,115573060228,11557306,CD-1 (312),Comprehensive Development,228,,BCS535,185,1901,499.0,BROUGHTON ST,V6G 3K1,LOT 228  PLAN BCS535  DISTRICT LOT ,185  NEW WESTMINSTER OF THE PUBLIC ,HARBOUR OF BURRARD UNDIV 162/28615 ,SHARE IN COM PROP THEREIN.,,3442000.0,613000.0,2018.0,2725000.0,614000.0,2003.0,2003.0,,28
181043,011-476-923,LAND,710041730000,71004173,RS-5,One Family Dwelling,3,25,VAP4601,139,,3519.0,KING EDWARD AVE W,V6S 1M4,LOT 3  BLOCK 25  PLAN VAP4601  DIST,RICT LOT 139  NWD OF LOT 3.,,,,2185000.0,31600.0,2018.0,2070000.0,33100.0,1929.0,1929.0,,3
182678,010-082-093,LAND,812261500000,81226150,RS-1,One Family Dwelling,7,51,VAP8514,FV,,2368.0,UPLAND DR,V5S 2B5,LOT 7  BLOCK 51  PLAN VAP8514  DIST,RICT LOT FV  NEW WESTMINSTER,,,,1659000.0,22700.0,2018.0,1714000.0,22700.0,1952.0,1952.0,,25
182921,025-107-879,STRATA,770306550002,77030655,C-2,Commercial,2,,LMS4473,37,102,3325.0,KINGSWAY,V5R 5K6,LOT 2  PLAN LMS4473  DISTRICT LOT 3,"7  NEW WESTMINSTER GROUP 1, UNDIV 5",4/1469 SHARE IN COM PROP THEREIN.,,,314000.0,82400.0,2018.0,221000.0,84100.0,2001.0,2001.0,,23
165912,006-293-140,STRATA,114612520007,11461252,RM-5A,Multiple Family Dwelling,7,,VAS1170,185,7,1238.0,CARDERO ST,V6G 2H6,LOT 7  PLAN VAS1170  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 82/1000 S,HARE IN COM PROP THEREIN.,,,668000.0,183000.0,2018.0,559000.0,192000.0,1982.0,1982.0,,27
198369,024-556-581,STRATA,600116040402,60011604,CD-1 (318),Comprehensive Development,402,,LMS3942,185,1806,1367.0,ALBERNI ST,V6E 4R9,LOT 402  PLAN LMS3942  DISTRICT LOT, 185  NEW WESTMINSTER UNDIV 70/2833,6 SHARE IN COM PROP THEREIN.,,,582000.0,206000.0,2018.0,476000.0,208000.0,1999.0,1999.0,,26
154356,027-537-366,STRATA,592118060015,59211806,DD,Comprehensive Development,15,,BCS2936,185,803,1188.0,PENDER ST W,V6E 0A2,LOT 15  PLAN BCS2936  DISTRICT LOT ,185  NWD GROUP 1.,,,,394000.0,250000.0,2018.0,323000.0,255000.0,2008.0,2008.0,,26
8970,026-909-979,STRATA,156604670023,15660467,DD,Comprehensive Development,23,,BCS2143,541,406,977.0,MAINLAND ST,V6B 1T2,LOT 23  PLAN BCS2143  DISTRICT LOT ,541  NEW WESTMINSTER GROUP 1.,,,,382000.0,183000.0,2018.0,355000.0,184000.0,2006.0,2006.0,,29
141199,029-588-341,STRATA,300841040002,30084104,CD-1 (499),Comprehensive Development,2,,EPS2778,330,113,3138.0,RIVERWALK AVE,V5S 0B6,LOT 2  PLAN EPS2778  DISTRICT LOT 3,"30  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM V,439000.0,256000.0,2018.0,333000.0,258000.0,,,,18
123354,015-022-625,LAND,694153370000,69415337,RS-7,One Family Dwelling,25,537,VAP1054,472,,865.0,19TH AVE W,V5Z 1X4,LOT 25  BLOCK 537  PLAN VAP1054  DI,STRICT LOT 472  NEW WESTMINSTER,,,,2400000.0,59200.0,2018.0,2365000.0,62100.0,1914.0,1975.0,,9
63485,029-874-700,STRATA,603162680189,60316268,CD-1 (520),Comprehensive Development,189,,EPS3602,FC,1122,68.0,SMITHE ST,V6B 0P4,LOT 189  PLAN EPS3602  DISTRICT LOT," FC  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,647000.0,400000.0,2018.0,513000.0,401000.0,,,,26
7268,023-257-059,STRATA,687217130001,68721713,RT-5,Two Family Dwelling,1,,LMS2193,264A,,1011.0,15TH AVE E,V5T 2S4,LOT 1  PLAN LMS2193  DISTRICT LOT 2,"64A  NWD GROUP 1, UNDIV 1803/3606 S",HARE IN COM PROP THEREIN TOGETHER W,ITH AN INTEREST IN THE COMMON PROPE,RTY IN PROPORTION TO THE UNIT ENTIT,1358000.0,219000.0,2018.0,1248000.0,218000.0,1995.0,1995.0,,13
21657,017-500-796,STRATA,150697850016,15069785,RM-3A,Multiple Family Dwelling,16,,LMS154,526,303,1023.0,WOLFE AVE,V6H 1V6,LOT 16  PLAN LMS154  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 1002/2035,3 SHARE IN COM PROP THEREIN.,,,497000.0,192000.0,2018.0,378000.0,197000.0,1991.0,1991.0,,8
127327,027-048-942,STRATA,172595060317,17259506,CD-1 (265),Comprehensive Development,317,,BCS2313,,1510,688.0,ABBOTT ST,V6B 0B9,LOT 317  PLAN BCS2313  NEW WESTMINS,TER DISTRICT LOT FALSE CREEK.,,,,402000.0,168000.0,2018.0,333000.0,168000.0,2007.0,2007.0,,26
173930,010-785-094,LAND,694078160000,69407816,RS-1,One Family Dwelling,2,528,VAP6873,526,,2388.0,19TH AVE W,V6L 1C6,LOT 2  BLOCK 528  PLAN VAP6873  DIS,TRICT LOT 526  NWD GROUP 1.,,,,3537000.0,1108000.0,2018.0,3641000.0,1171000.0,2007.0,2008.0,,4
40908,003-853-713,STRATA,613119390023,61311939,RM-5A,Multiple Family Dwelling,23,,VAS322,185,307,1045.0,BURNABY ST,V6E 1N9,LOT 23  PLAN VAS322  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 239/10000, SHARE IN COM PROP THEREIN.,,,335000.0,47400.0,2018.0,286000.0,51500.0,1975.0,1975.0,,27
9856,028-218-060,STRATA,638179370100,63817937,CD-1 (454),Comprehensive Development,100,,BCS3818,FC,909,181.0,1ST AVE W,V5Y 0E3,LOT 100  PLAN BCS3818  DISTRICT LOT, FC  NWD TOGETHER WITH AN INTEREST ,IN THE COMMON PROPERTY IN PROPORTIO,N TO THE UNIT ENTITLEMENT OF THE ST,"RATA LOT AS SHOWN ON FORM 1 OR V, A",1144000.0,341000.0,2018.0,1007000.0,342000.0,2009.0,2009.0,,13
19664,003-784-461,STRATA,648087040014,64808704,RM-4,Multiple Family Dwelling,14,,VAS266,526,303,2190.0,8TH AVE W,V6K 2A4,LOT 14  PLAN VAS266  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 4548/1000,00 SHARE IN COM PROP THEREIN.,,,367000.0,35600.0,2018.0,345000.0,38500.0,1975.0,1975.0,,2
16829,008-170-169,LAND,120795230000,12079523,RS-6,One Family Dwelling,3,11,VAP5761,526,,6839.0,ANGUS DR,V6P 5J4,LOT 3  BLOCK 11  PLAN VAP5761  DIST,RICT LOT 526  NWD OF LOT J.,,,,4515000.0,976000.0,2018.0,4571000.0,1002000.0,1992.0,2000.0,,10
130804,014-541-122,LAND,790250580000,79025058,RS-1,One Family Dwelling,12,4,VAP1592,724,,2112.0,49TH AVE E,V5P 1T7,LOT 12  BLOCK 4  PLAN VAP1592  DIST,RICT LOT 724  NWD WEST 33FT.,,,,1480000.0,163000.0,2018.0,1432000.0,167000.0,1982.0,1982.0,,24
80820,016-341-287,STRATA,665253980009,66525398,RM-4,Multiple Family Dwelling,9,,VAS2718,264A,202,1950.0,11TH AVE E,V5N 1Z2,LOT 9  PLAN VAS2718  DISTRICT LOT 2,64A  NEW WESTMINSTER UNDIV 846/2415,0 SHARE IN COM PROP THEREIN.,,,479000.0,160000.0,2018.0,328000.0,162000.0,1990.0,1990.0,,14
96526,027-923-673,STRATA,172595030246,17259503,CD-1 (265),Comprehensive Development,246,,BCS3437,,1205,188.0,KEEFER PL,V6B 0J1,LOT 246  PLAN BCS3437  NWD DISTRICT," LOT FALSE CREEK, GROUP 1, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,448000.0,143000.0,2018.0,378000.0,136000.0,2009.0,2009.0,,26
104132,010-030-786,LAND,156796550000,15679655,RS-1,One Family Dwelling,20,882,VAP9628,526,,6921.0,HEATHER ST,V6P 3P5,LOT 20  BLOCK 882  PLAN VAP9628  DI,STRICT LOT 526  NWD GROUP 1.,,,,3528000.0,488000.0,2018.0,3559000.0,498000.0,1992.0,1992.0,,11
176946,012-035-165,LAND,726032310000,72603231,RS-5,One Family Dwelling,31,57,VAP3925,2027,,3965.0,32ND AVE W,V6S 1Z4,LOT 31  BLOCK 57  PLAN VAP3925  DIS,TRICT LOT 2027  NWD AMD (SEE 251581,).,,,3991000.0,1081000.0,2018.0,4172000.0,1073000.0,2004.0,2004.0,,3
172255,006-708-960,LAND,690026750000,69002675,RS-1,One Family Dwelling,14,163,VAP4548,540,,4317.0,16TH AVE W,V6R 3E6,LOT 14  BLOCK 163  PLAN VAP4548  DI,STRICT LOT 540  NWD OF LOT 3.,,,,2280000.0,28300.0,2018.0,2340000.0,28300.0,1942.0,1942.0,,1
5211,029-367-719,STRATA,170761610034,17076161,CD-1 (527),Comprehensive Development,34,,EPS2033,526,505,6311.0,CAMBIE ST,V5Z 3B2,LOT 34  PLAN EPS2033  DISTRICT LOT ,"526  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,477000.0,151000.0,2018.0,439000.0,151000.0,2014.0,2014.0,,11
55721,014-492-407,LAND,250721940000,25072194,RT-2,Two Family Dwelling,8,3,VAP1659,393,,2015.0,31ST AVE E,V5N 3B3,LOT 8  BLOCK 3  PLAN VAP1659  DISTR,ICT LOT 393  NEW WESTMINSTER OF LOT,S 7 & 8.,,,1374000.0,54600.0,2018.0,1395000.0,56100.0,1955.0,1955.0,,23
44462,019-061-251,STRATA,120606920064,12060692,CD-1 (386),Comprehensive Development,64,,LMS1689,541,1004,1088.0,BURRARD ST,V6Z 2R9,LOT 64  PLAN LMS1689  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 390/2164,65 SHARE IN COM PROP THEREIN.,,,95300.0,78100.0,2018.0,63300.0,82000.0,1994.0,1994.0,,26
176444,018-118-925,STRATA,156602960131,15660296,DD,Comprehensive Development,131,,LMS740,541,1906,888.0,HAMILTON ST,V6B 5W4,LOT 131  PLAN LMS740  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 896/1411,73 SHARE IN COM PROP THEREIN.,,,541000.0,295000.0,2018.0,466000.0,296000.0,1993.0,1993.0,,29
115670,018-534-392,STRATA,640037920019,64003792,C-2,Commercial,19,,LMS1136,176,242,2083.0,ALMA ST,V6R 4N6,LOT 19  PLAN LMS1136  DISTRICT LOT ,176  NEW WESTMINSTER UNDIV 65/6170 ,SHARE IN COM PROP THEREIN.,,,482000.0,64300.0,2018.0,388000.0,67000.0,1989.0,1989.0,,1
163066,003-226-824,STRATA,120602180050,12060218,DD,Comprehensive Development,50,,VAS1323,541,807,850.0,BURRARD ST,V6Z 2J1,LOT 50  PLAN VAS1323  DISTRICT LOT ,541  NEW WESTMINSTER UNDIV 88/4713 ,SHARE IN COM PROP THEREIN.,,,590000.0,166000.0,2018.0,516000.0,171000.0,1983.0,1983.0,,26
23806,023-485-451,STRATA,601117960087,60111796,CD-1 (319),Comprehensive Development,87,,LMS2472,185,1703,1288.0,ALBERNI ST,V6E 4N5,LOT 87  PLAN LMS2472  DISTRICT LOT ,185  NEW WESTMINSTER UNDIV 844/2295,36 SHARE IN COM PROP THEREIN.,,,629000.0,291000.0,2018.0,526000.0,295000.0,1996.0,1996.0,,27
152467,028-886-216,STRATA,638172040059,63817204,CD-1 (483),Comprehensive Development,59,,EPS800,302,322,288.0,1ST AVE W,V5Y 0E9,LOT 59  PLAN EPS800  DISTRICT LOT 3,"02  NWD GROUP 1, TOGETHER WITH AN I",NTEREST IN THE COMMON PROPERTY IN P,ROPORTION TO THE UNIT ENTITLEMENT O,F THE STRATA LOT AS SHOWN ON FORM 1,604000.0,213000.0,2018.0,453000.0,215000.0,2012.0,2012.0,,13
172981,029-700-892,STRATA,638182500135,63818250,CD-1 (464),Comprehensive Development,135,,EPS2983,200A,502,38.0,1ST AVE W,V5Y 0K3,LOT 135  PLAN EPS2983  DISTRICT LOT," 200A  NWD GROUP 1, TOGETHER WITH A",N INTEREST IN THE COMMON PROPERTY I,N PROPORTION TO THE UNIT ENTITLEMEN,T OF THE STRATA LOT AS SHOWN ON FOR,674000.0,308000.0,2018.0,569000.0,310000.0,,,,13
24113,013-208-489,LAND,814184330000,81418433,RS-1,One Family Dwelling,14,4,VAP3065,322,,57.0,60TH AVE E,V5X 1Z5,LOT 14  BLOCK 4  PLAN VAP3065  DIST,RICT LOT 322  NWD OF LOT 1.,,,,1659000.0,79100.0,2018.0,1658000.0,82800.0,1969.0,1969.0,,17
182825,006-347-819,STRATA,120614040159,12061404,DD,Comprehensive Development,159,,VAS1182,541,901,1330.0,BURRARD ST,V6Z 2B8,LOT 159  PLAN VAS1182  DISTRICT LOT, 541  NEW WESTMINSTER UNDIV 5336/10,00000 SHARE IN COM PROP THEREIN.,,,400000.0,66300.0,2018.0,297000.0,69200.0,1976.0,1976.0,,29
197726,005-702-666,LAND,602118930000,60211893,DD,Comprehensive Development,D,18,20321,185,,777.0,THURLOW ST,V6E 3V5,LOT D  BLOCK 18  PLAN 20321  DISTRI,CT LOT 185  NEW WESTMINSTER,,,,27747000.0,80000.0,2018.0,26360000.0,203000.0,1955.0,1985.0,,27
13456,018-494-129,STRATA,654165980004,65416598,CD-1 (187),Comprehensive Development,4,,LMS1109,526,112,500.0,10TH AVE W,V5Z 4P1,LOT 4  PLAN LMS1109  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 85/8493 S,HARE IN COM PROP THEREIN.,,,481000.0,280000.0,2018.0,288000.0,283000.0,1994.0,1994.0,,7
182043,025-876-155,STRATA,305810270117,30581027,CD-1 (68),Comprehensive Development,117,,BCS648,334,413,7089.0,MONT ROYAL SQ,V5S 4W6,LOT 117  PLAN BCS648  DISTRICT LOT ,334  NEW WESTMINSTER UNDIV 89/6746 ,SHARE IN COM PROP THEREIN..,,,500000.0,186000.0,2018.0,463000.0,189000.0,2004.0,2004.0,,25
131212,005-237-769,STRATA,615118040053,61511804,RM-5A,Multiple Family Dwelling,53,,VAS666,185,702,1330.0,BUTE ST,V6E 3Z9,LOT 53  PLAN VAS666  DISTRICT LOT 1,85  NEW WESTMINSTER UNDIV 508/32598, SHARE IN COM PROP THEREIN.,,,271000.0,98300.0,2018.0,228000.0,101000.0,1981.0,1981.0,,27
133397,025-759-124,STRATA,148606290127,14860629,DD,Comprehensive Development,127,,BCS528,541,2403,1055.0,HOMER ST,V6B 1G3,LOT 127  PLAN BCS528  DISTRICT LOT ,"541  NEW WESTMINSTER GROUP 1, UNDIV", 108/12020 SHARE IN COM PROP THEREI,N.,,1166000.0,446000.0,2018.0,921000.0,447000.0,2003.0,2003.0,,29
111981,014-354-101,LAND,759250670000,75925067,RS-1,One Family Dwelling,60,,VAP1744,722,,2231.0,46TH AVE E,V5P 1P3,LOT 60  PLAN VAP1744  DISTRICT LOT ,722  NEW WESTMINSTER,,,,1381000.0,29100.0,2018.0,1461000.0,29100.0,1953.0,1953.0,,24
16204,013-615-297,LAND,650265540000,65026554,RS-1,One Family Dwelling,7,164,404 & 1771,264A,,2254.0,BROADWAY E,V5N 1W9,LOT 7  BLOCK 164  PLAN 304  DISTRIC,T LOT 264A  NWD EXC THE SOUTH 10 FE,"ET, NOW LANE, OF LOT B & PL 1771.",,,1220000.0,172000.0,2018.0,1190000.0,176000.0,1981.0,1987.0,,14
74092,026-366-703,STRATA,120604040265,12060404,CD-1 (229),Comprehensive Development,265,,BCS1433,541,1627,938.0,SMITHE ST,V6Z 3H8,LOT 265  PLAN BCS1433  DISTRICT LOT, 541  NEW WESTMINSTER GROUP 1.,,,,437000.0,190000.0,2018.0,361000.0,191000.0,2005.0,2005.0,,26
179218,012-451-266,STRATA,664097680002,66409768,RT-8,Two Family Dwelling,2,,VAS2300,526,,1832.0,11TH AVE W,V6J 2C5,LOT 2  PLAN VAS2300  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 95/421 SH,ARE IN COM PROP THEREIN.,,,1102000.0,234000.0,2018.0,1005000.0,213000.0,1910.0,1988.0,,2
30509,005-674-913,STRATA,586265460016,58626546,RM-3A,Multiple Family Dwelling,16,,VAS951,184,202,2240.0,TRIUMPH ST,V5L 1L3,LOT 16  PLAN VAS951  DISTRICT LOT 1,84  NEW WESTMINSTER UNDIV 4/100 SHA,RE IN COM PROP THEREIN.,,,243000.0,76700.0,2018.0,201000.0,80700.0,1981.0,1981.0,,14
158955,025-850-393,STRATA,138616060082,13861606,CD-1 (366),Comprehensive Development,82,,BCS679,,1602,1438.0,RICHARDS ST,V6Z 3B8,LOT 82  PLAN BCS679  NEW WESTMINSTE,"R DISTRICT LOT FALSE CREEK, UNDIV 1",05/17294 SHARE IN COM PROP THEREIN.,,,981000.0,392000.0,2018.0,894000.0,395000.0,2004.0,2004.0,,30
32121,023-937-939,STRATA,157606020419,15760602,CD-1 (324),Comprehensive Development,419,,LMS2995,,2109,1009.0,EXPO BLVD,V6Z 2V9,LOT 419  PLAN LMS2995  NWD DISTRICT," LOT FALSE CREEK, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,426000.0,207000.0,2018.0,370000.0,207000.0,1997.0,1997.0,,30
12029,005-627-826,STRATA,790170040029,79017004,CD-1 (103),Comprehensive Development,29,,VAS663,526,213,444.0,49TH AVE W,V5Y 3V4,LOT 29  PLAN VAS663  DISTRICT LOT 5,26  NEW WESTMINSTER UNDIV 2063/1000,00 SHARE IN COM PROP THEREIN.,,,760000.0,99600.0,2018.0,511000.0,105000.0,1980.0,1980.0,,11
193728,030-021-219,STRATA,320718950440,32071895,CD-1 (545),Comprehensive Development,440,6,EPS3434,36,1207,5665.0,BOUNDARY RD,V5R 0E4,LOT 440  BLOCK 6  PLAN EPS3434  DIS,"TRICT LOT 36  NWD GROUP 1, TOGETHER", WITH AN INTEREST IN THE COMMON PRO,PERTY IN PROPORTION TO THE UNIT ENT,ITLEMENT OF THE STRATA LOT AS SHOWN,238000.0,204000.0,2018.0,121000.0,204000.0,,,,23
165155,028-926-137,STRATA,650138660003,65013866,C-3A,Commercial,3,,EPS755,526,302,1258.0,BROADWAY W,V6H 0A9,LOT 3  PLAN EPS755  DISTRICT LOT 52,"6  NWD GROUP 1, TOGETHER WITH AN IN",TEREST IN THE COMMON PROPERTY IN PR,OPORTION TO THE UNIT ENTITLEMENT OF, THE STRATA LOT AS SHOWN ON FORM 1 ,367000.0,213000.0,2018.0,283000.0,215000.0,2010.0,2010.0,,7
42684,017-973-970,LAND,830197080000,83019708,I-2,Light Industrial,D,,LMP7130,313,,400.0,MARINE DR SE,V5X 4X2,LOT D  PLAN LMP7130  DISTRICT LOT 3,13  NEW WESTMINSTER,,,,31352000.0,8793300.0,2018.0,16929000.0,11254300.0,2001.0,2001.0,,18
35769,028-338-910,STRATA,598190450058,59819045,HA-1A,Historic Area,58,,BCS3944,196,419,221.0,UNION ST,V6A 0B4,LOT 58  PLAN BCS3944  DISTRICT LOT ,"196  NWD GROUP 1, TOGETHER WITH AN ",INTEREST IN THE COMMON PROPERTY IN ,PROPORTION TO THE UNIT ENTITLEMENT ,OF THE STRATA LOT AS SHOWN ON FORM ,417000.0,164000.0,2018.0,340000.0,165000.0,2010.0,2010.0,,26
21997,016-015-771,STRATA,670163580041,67016358,RM-4,Multiple Family Dwelling,41,,VAS2642,526,W205,688.0,12TH AVE W,V5Z 1M8,LOT 41  PLAN VAS2642  DISTRICT LOT ,526  NEW WESTMINSTER UNDIV 868/5093,2 SHARE IN COM PROP THEREIN.,,,533000.0,158000.0,2018.0,448000.0,160000.0,1990.0,1990.0,,7
37756,010-646-671,LAND,235723050000,23572305,RS-1,One Family Dwelling,6,1,VAP7373,,,1488.0,30TH AVE E,V5N 3T5,LOT 6  BLOCK 1  PLAN VAP7373  NWD G,"ROUP 1, OF LOTS 40 TO 43, N PT OF B",LKS 1 & 3.,,,1380000.0,823000.0,2018.0,1444000.0,808000.0,2014.0,2014.0,,19
